"id","name","description"
"intrastat_01","01","Žive živali"
"intrastat_0101","0101","Konji, osli, mezge in mule, živi"
"intrastat_01012100","01012100","Konji, čistopasemski plemenski, živi"
"intrastat_010129","010129","Konji, drugi (razen čistopasemskih plemenskih), živi"
"intrastat_01012910","01012910","Konji, za zakol, živi"
"intrastat_01012990","01012990","Konji, drugi (razen čistopasemskih plemenskih),ostali (razen tistih za zakol), živi"
"intrastat_01013000","01013000","Osli, živi"
"intrastat_01019000","01019000","Mezge in mule, žive"
"intrastat_0102","0102","Govedo, živo"
"intrastat_010221","010221","Govedo, čistopasemsko plemensko, živo"
"intrastat_01022110","01022110","Telice (samice goveda, ki še niso telile), čistopasemske plemenske, žive"
"intrastat_01022130","01022130","Krave, čistopasemske plemenske, žive"
"intrastat_01022190","01022190","Govedo, drugo, čistopasemsko plemensko, živo"
"intrastat_010229","010229","Govedo, drugo (razen čistopasemsko plemensko), živo"
"intrastat_01022910","01022910","Govedo, drugo (razen čistopasemsko plemensko), mase do vključno 80 kg, živo"
"intrastat_01022921","01022921","Govedo, drugo (razen čistopasemsko plemensko), mase nad 80 kg, do vključno 160 kg, za zakol, živo"
"intrastat_01022929","01022929","Govedo, drugo (razen čistopasemsko plemensko), mase nad 80 kg, do vključno 160 kg, drugo (razen tisto za zakol), živo"
"intrastat_01022941","01022941","Govedo, drugo (razen čistopasemsko plemensko), mase nad 160 kg, do vključno 300 kg, za zakol, živo"
"intrastat_01022949","01022949","Govedo, drugo (razen čistopasemsko plemensko), mase nad 160 kg, do vključno 300 kg, drugo (razen tistih za zakol), živo"
"intrastat_01022951","01022951","Telice (samice goveda, ki še niso telile), druge (razen čistopasemskih plemenskih), mase nad 300 kg, za zakol, žive"
"intrastat_01022959","01022959","Telice (samice goveda, ki še niso telile), druge (razen čistopasemskih plemenskih), mase nad 300 kg, druge (razen tistih za zakol), žive"
"intrastat_01022961","01022961","Krave, druge (razen čistopasemskih plemenskih), mase nad 300 kg, za zakol, žive"
"intrastat_01022969","01022969","Krave, druge (razen čistopasemskih plemenskih), mase nad 300 kg, druge (razen tistih za zakol), žive"
