"id","code","short_name","full_description"
"intra_tr_type_11","11","Neposredni nakup/prodaja","Neposredni nakup/prodaja"
"intra_tr_type_12","12","Dobava za prodajo po ogledu...","Dobava za prodajo po ogledu ali po preizkusu, za konsignacijo ali s posredovanjem komisionarja"
"intra_tr_type_13","13","Barterski posli...","Barterski posli (nadomestilo v naravi)"
"intra_tr_type_14","14","Finančni zakup...","Finančni zakup (lizing; nakup na odplačilo) "
"intra_tr_type_19","19","Drugo","Drugo"
"intra_tr_type_21","21","Vračilo blaga","Vračilo blaga"
"intra_tr_type_22","22","Zamenjava za vrnjeno blago","Zamenjava za vrnjeno blago"
"intra_tr_type_23","23","Zamenjava (npr.pod garancijo)...","Zamenjava (npr. pod garancijo) za blago, ki ni bilo vrnjeno"
"intra_tr_type_29","29","Drugo","Drugo"
"intra_tr_type_30","30","Posli, ki vključujejo prenos...","Posli, ki vključujejo prenos lastništva brez  finančnega nadomestila ali nadomestila v naravi  (npr. pošiljke pomoči)"
"intra_tr_type_41","41","Blago, za katerega se pričakuje...","Blago, za katerega se pričakuje, da se bo vrnilo v začetno državo članico odpreme"
"intra_tr_type_42","42","Blago, za katerega se ne pričakuje...","Blago, za katerega se ne pričakuje, da se bo vrnilo v začetno državo članico odpreme"
"intra_tr_type_51","51","Blago, ki se vrača v začetno...","Blago, ki se vrača v začetno državo članico odpreme"
"intra_tr_type_52","52","Blago, ki se ne vrača v začetno...","Blago, ki se ne vrača v začetno državo članico odpreme"
"intra_tr_type_64","64","Posli z namenom popravila...","Posli z namenom popravila oziroma vzdrževanja (servisiranja) blaga proti plačilu"
"intra_tr_type_65","65","Posli, ki sledijo popravilu...","Posli, ki sledijo popravilu oziroma vzdrževanju (servisiranju) blaga proti plačilu"
"intra_tr_type_70","70","Postopki k okviru skupnih...","Postopki k okviru skupnih obrambnih projektov ali drugih skupnih medvladnih proizvodnih programov"
"intra_tr_type_80","80","Posli, ki vključujejo dobavo...","Posli, ki vključujejo dobavo gradbenega materiala in tehnične opreme v okviru splošne pogodbe o  gradnji ali projektiranju, ki ne zahteva ločenega računa za blago, izda pa se račun za celotno pogodbeno vrednost"
"intra_tr_type_91","91","Najem, izposoja, operativni...","Najem, izposoja, operativni zakup (lizing), ki presega 24 mesecev"
"intra_tr_type_99","99","Drugo","Drugo"
